,location
2368,"ÜT: 32.336484,-110.984166"
2369,"New Orleans, LA"
2370,"Chicago, IL"
2371,401
2372," New Orleans LA, Jackson, MS"
2373,"Oneida, TN"
2374,Toronto
2375,New York City
2376,"Los Angeles, CA"
2377,your backyard
2378,"Kampala, Uganda"
2379,"Albuquerque, NM"
2380,"Overland Park, KS"
2381,Georgia
2382,"Tyler, TX"
2383,401
2384,"Montrose, Houston TX"
2385,"Overland Park, KS"
2386,"White Bear Lake, MN"
2387,Toronto
2388,United States
2389,FL
2390,"Kentucky, USA"
2391,"Cape Coral, FL"
2392,Petaling Jaya
2393,looking at the sky somewhere
2394,"台北市, 台灣"
2395,Miami 
2396,Oklahoma
2397,"Greenup, KY"
2398, Indianapolis IN
2399,United States
2400,"lapta, kyrenia, north cyprus"
2401,"Lansing, MI"
2402,"Kingston, ON"
2403,"Spokane, WA"
2404,434 
2405,"Charlotte, NC"
2406,Q Sent Me ⭐⭐⭐Tx Patriot! 
2407,#USMC #Texas #UNT #ThePoint
2408,"Santiago, Chile"
2409,"Huntsville, AL"
2410,5sos & bts
2411,"SJ, C a l i f o r n i a ♡"
2412,"Tucson, AZ"
2413,On a Mission
2414,"Clermont, FL"
2415,"Kansas City, MO"
2416,"lexington, kentucky. "
2417,Los Angeles
2418,"Tucson, AZ"
2419,"Bloomington, IN"
2420,"North Carolina, USA"
2421,"Oakland, CA"
2422,"Lake St Louis, MO"
2423,Tennessee
2424,where do you think?
2425,"PA, USA"
2426,SE of Seattle WA
2427,"Miami, FL"
2428,"San Mateo County, California"
2429,SoCal ... via TX
2430,Bay Area
2431,"Plano, TX"
2432,"Detroit, MI"
2433,"Washington Heights, New York"
2434,"Kansas, USA"
2435,🌏
2436,"Minnesota, USA"
2437,"Waunakee, WI"
2438,United States of America
2439,Earth
2440,"Windsor, Ontario"
2441,Ulaanbaatar and Afghanistan
2442,"Nashville, TN"
2443,"Eugene, OR"
2444,Canada
2445,"West Monroe, LA"
2446,Kuala Lumpur
2447,"Noida, India"
2448,Trap house 
2449,"San Mateo County, California"
2450,"Los Angeles, CA"
2451,"Boston, MA"
2452,NYC
2453,"Missouri, USA"
2454,Wellington
2455,United Kingdom
2456,Ulaanbaatar and Afghanistan
2457,World
2458,"Boston, MA"
2459,Bay Area 
2460,Oklahoma
2461,United States
2462,"Arkansas, USA"
2463,"Bethesda, MD"
2464,Team PijaSUN 🌺
2465,"Little Rock, Arkansas"
2466,"Escondido, CA"
2467,"Chicago, IL"
2468,"Chicago, IL"
2469,"Alexandria, VA"
2470,Going places🍦
2471,United States
2472,Earth-616
2473,🕊️ #SpiritOfAmerica 🇺🇸
2474,phils.
2475,🕊️ #SpiritOfAmerica 🇺🇸
2476,🕊️ #SpiritOfAmerica 🇺🇸
2477,United States
2478,New York City
2479,🕊️ #SpiritOfAmerica 🇺🇸
2480,🕊️ #SpiritOfAmerica 🇺🇸
2481,Knoxville
2482,🕊️ #SpiritOfAmerica 🇺🇸
2483,"Minneapolis, MN"
2484,🕊️ #SpiritOfAmerica 🇺🇸
2485,"Ontario, Canada"
2486,🕊️ #SpiritOfAmerica 🇺🇸
2487,Minnesota
2488,"Michigan, USA"
2489,Texas
2490,"Charlotte, NC"
2491,gone
2492,New Zealand
2493,"Brisbane, Australia"
2494,Caracas
2495,"Strathcona County, Alberta"
2496,"Inglewood, CA"
2497,Pinetown
2498,"Mesquite, TX"
2499,Southern USA
2500,überburbs© of Philadelphia
2501,"Maryland, USA"
2502,"Blackburn South, Melbourne"
2503,Wellington
2504,"Chur-chur, Aotearoa"
2505,"dallas, texas"
2506,"Koronadal, Philippines"
2507,United States
2508,"Illinois, USA"
2509,"Tarrytown, NY"
2510,"Florida, USA"
2511,"San Mateo County, California"
2512,Somewhere I belong
2513,"Austin, TX"
2514,"Ohio, USA"
2515,OhiO
2516,jersey
2517,"Winnipeg, MB, Canada"
2518,"Los Angeles, CA"
2519,United States
2520,"Fayetteville, GA"
2521,Atlantafornia 
2522,"Villa Park, IL"
2523,"Chicago, IL"
2524,"dallas, texas"
2525,"Pembroke, NC"
2526,Los Angeles
2527,SMtown
2528,New York
2529,"Toronto, ON"
2530,"Naples, FL"
2531,"Elizabethtown, Ontario"
2532,"Auckland, New Zealand"
2533,"427 31W Bypass STE. 203 BG, KY"
2534,"Los Angeles, CA"
2535,"Seattle, WA"
2536,Philippeville
2537,"Halifax, Nova Scotia"
2538,Simco mountain : RANGE 
2539,Epic Gamer Headquarters
2540,"Atlanta, GA"
2541,"Connecticut, USA"
2542,"Fresno, CA"
2543,"Norman, OK"
2544,"Houston, TX (and well beyond)"
2545,Mississippi Lake Ontario
2546,"Orlando, FL"
2547,"Salt Lake City, UT"
2548,"Baton Rouge, LA"
2549,Barbados
2550,"Brandenburg, KY"
2551,West Burgershire
2552,UAlbany
2553,i'm lost and my phones battery is on 5%
2554,GLOBAL
2555,"Rural Retreat, VA"
2556,"Charlotte, NC"
2557,GLOBAL
2558,"New York, NY"
2559,Ireland
2560,"Seattle, WA, Cascadia"
2561,"Manhattan, NY"
2562,ohio
2563,TX
2564,"Seattle, WA"
2565,"San Diego, CA"
2566,Cincinnati Ohio
2567,"Bristol, TN"
2568,"Toronto, Ontario"
2569,"Seattle, WA"
2570,Avenue of the (not) Righteous
2571,Teku Benga
2572,"Baltimore, MD"
2573,Seattle Grace Hospital
2574,Roaming
2575,CLE
2576,Middle America
2577,"Raleigh, NC"
2578,New Orleans
2579,"Index, WA "
2580,"Pittsburgh, PA"
2581,West Coast
2582,Charlotte 
2583,"Iligan City, Northern Mindanao"
2584,USA
2585,"Greenfield, IN"
2586,"Kuala Lumpur City, Kuala Lumpu"
2587,"Louisville, KY"
2588,"Onarga Falls, Illinois"
2589,"Manhattan, NY"
2590,Goldilocks Zone
2591,Bull City
2592,Malaysia
2593,St Louis MO
2594,usa
2595,Soro’s guest house
2596,Los Angeles
2597,Long Island. NY
2598,"Hilo, Hawaii"
2599,Boston
2600,"Fredericksburg, VA"
2601,17 | #blacklivesmatter 
2602,MY
2603,"Colorado, Texas, Georgia, NY/NJ"
2604,"Baltimore, MD"
2605,Colorado
2606,Northern New Jersey
2607,"Oporto, Portugal"
2608,"Atlanta, GA"
2609,Boston 
2610,Kazakhstan
2611,"New Delhi, India"
2612,"Oakville, Ontario, Canada"
2613,"Baltimore, MD"
2614,twitter
2615,California
2616,twitter
2617,Brazil
2618,"Oregon, USA"
2619,대한민국
2620,"39,000 ft"
2621,"Massachusetts, USA"
2622,"New York, USA"
2623,"Twin Cities, Minnesota"
2624,Wherever the tacos are
2625,"England, United Kingdom"
2626,"Colleyville, TX"
2627,"Ontario, Canada"
2628,"ÜT: -22.900666,-43.120187"
2629,ICU 
2630,"Germantown, MD"
2631,South Australia
2632,"Chicago, IL"
2633,Indianapolis area
2634,"Pennsylvania, USA"
2635,203
2636,"Santa Monica, CA"
2637,"Ōtautahi, Aotearoa"
2638,"ÜT: -22.900666,-43.120187"
2639,"Charlotte, NC"
2640,"Fort Lauderdale, FL"
2641,"Charlotte, NC"
2642,"Stockton, CA"
2643,"Cincinnati, OH"
2644,"Queens, New York"
2645,"Birmingham, AL"
2646,"Houston, TX"
2647,"Sydney, Australia"
2648,PLANET EARTH
2649,United States
2650,"Louisiana, USA"
2651,trying to kill the moon
2652,On a Mission
2653,"Tulsa, Oklahoma"
2654,"New Delhi, India"
2655,🇹🇹
2656,Seattle
2657,"Orange County, CA"
2658,"Naples, FL"
2659,"Tampa, Florida"
2660,Chicago
2661,United States
2662,tokyo
2663,"New Delhi, India"
2664,Florida
2665,"Scotland, United Kingdom"
2666,Lake Ballinger
2667,"Texas, USA"
2668,Madinah 🕌
2669,"Denver, Colorado, USA"
2670,El Paso
2671,World
2672,"New York, NY"
2673,USA
2674,"Sydney, New South Wales"
2675,"North Carolina, USA"
2676,"California, USA"
2677,United States
2678,Malaysia
2679,New Brunswick
2680,"California, USA"
2681,"Modesto, CA"
2682,Ct
2683,"Seattle, Washington, USA"
2684,Trinidad
2685,"Michigan, USA"
2686,"New Delhi, India"
2687,"Sacramento, CA"
2688,"Middleton, NS"
2689,"Kentucky, USA"
2690,"Washington, DC"
2691,Maryland
2692,GLOBAL
2693,New Zealand
2694,"Boulder, CO"
2695,Atlantis
2696,"New Delhi, India"
2697,Malaysia
2698,"Bengaluru, India"
2699,"Diamond Bar, CA"
2700,"Austin, Texas"
2701,"Charlotte, NC"
2702,"Orlando, FL"
2703,United States
2704,The S.S. Shambles
2705,LBK
2706,"Michigan, USA"
2707,717
2708,Total Universe
2709,Ashland
2710,"Virginia, USA"
2711,✪The United States Of America✪
2712,"McKinney, TX"
2713,"New York, USA"
2714,"Austin, TX"
2715,NYC
2716,United States
2717,"Orlando, FL"
2718,Los Angeles
2719,"Fort Worth, TX"
2720,"Chicago, IL"
2721,"Antwerpen, België"
2722,brooklyn
2723,"Toronto, Ontario"
2724,United States
2725,"Boston, MA"
2726,Wallumedegal Country
2727,"Florida, USA"
2728,AZ
2729,Okla
2730,Madinah 🕌
2731,"Toronto, Ontario"
2732,jigoku
2733,"cbus
"
2734,somewhere else
2735,"Fort Worth, TX"
2736,some hell hole
2737,Mackay
2738,716
2739,United States
2740,Edinburg Texas
2741,Minnesota
2742,Mackay
2743,"Belmont, NC"
2744,Ontario
2745,"Bogotá, D.C., Colombia"
2746,"DeLand, Ormond, Daytona Beach, Port Orange, Ponce Inlet"
2747,United States
2748,"Sulphur, LA"
2749,Probably in bed 🛏 
2750,"Johor Bahru, Johor"
2751,Ottawa
2752,"Belle Chasse, LA"
2753,"Texas, USA"
2754,Instagram @dreams_4_sale 
2755,"Philadelphia, PA"
2756,"Charlotte, NC"
2757,"Kearney, NE"
2758,Devil's Triangle ☠
2759,"Michigan, USA"
2760,New England
2761,yorkshire
2762,MY
2763,"U.S. West Coast, Alameda CA"
2764,"Tatamagouche, Nova Scotia"
2765,New York
2766,D T X
2767,"New York, NY"
2768,"Hot Springs, AR"
2769,"Washington, DC"
2770,"Monroeville, AL"
2771,London
2772,"Hollywood , CA"
2773,"Provo, Utah. "
2774,los angeles
2775,"Sarasota, FL"
2776,"Washington Heights, New York"
2777,"La Jolla, San Diego"
2778,k-dramas
2779,"Sugar Land, TX"
2780,"Iowa, USA"
2781,"Fairfield, CT"
2782,"Johore, Malaysia"
2783,Heavens Fence
2784,Peine
2785,"Fairfield, CT"
2786,Malaysia
2787,"Austin, TX"
2788,"Portland, OR"
2789,Utah
2790,USA
2791,Virginia
2792,In the mythical land of Oz.
2793,"Larkfield, CA"
2794,NYC (142)
2795,"Cuyahoga Falls, OH"
2796,"San Marcos, TX"
2797,Vancouver
2798,Los Angeles
2799,Malaysia
2800,Knoxville
2801,Washington DC
2802,Durham NC
2803,"Tennessee, USA"
2804,Midwest USA
2805,"Hattiesburg, MS"
2806,my head...mostly☻
2807,"Seattle, WA"
2808,"Los Angeles, CA"
2809,"Kitchener, ON, Canada"
2810,Southern Indiana
2811,Florida ☀️
2812,"Ahmadabad City, India"
2813,multi
2814,"California, USA"
2815,Southern Indiana
2816,"Troy, NY ✈ Tampa, FL"
2817,"New York, NY"
2818,United States
2819,"Los Angeles, CA"
2820,"Boise, Idaho"
2821,"Connecticut, USA"
2822,Frisco Tx
2823,"Connecticut, USA"
2824,everywhere
2825,"Lubbock, TX"
2826,Massachusetts
2827,"Raleigh, NC"
2828,"San Diego, CA"
2829,"Charlotte, NC"
2830,221B baker street : cam
2831,"6 Side, Canada"
2832,"Tennessee, USA"
2833,"Queens, NY"
2834,In a cringe compilation
2835,Wolves den
2836,Scottsdale AZ
2837,Michigan
2838,usa
2839,Hibernia
2840,"New York, NY"
2841,"Woodland, CA"
2842,"New York, NY"
2843,"Lower Mainland, BC"
2844,China.Hong Kong.Malaysia.
2845,"New York, NY"
2846,"New York, NY"
2847,"Arizona, USA"
2848,"New York, NY"
2849,"New York, NY"
2850,"Detroit, MI"
2851,"New York, NY"
2852,"Cincinnati, OH"
2853,"Philadelphia, PA"
2854,USA
2855,jcdanielsblog.com
2856,"New York, NY"
2857,Jamaica
2858,"Los Angeles, CA"
2859,"Hufflepuff, West Side, Chicago"
2860,Everywhere
2861,"Ketchikan, Alaska"
2862,Terribly lost...loving it 🌍🏄
2863,Nomadismo responsable
2864,Miami
2865,"North Carolina, USA"
2866,"Oxford, MS"
2867,"Virginia, USA"
2868,USA
2869,Jamaica
2870,"Texas, USA"
2871,The Lou
2872,"Ohio, USA"
2873,"Haining, China"
2874,"Huntington Beach, California"
2875,"London, England"
2876,"ÜT: 0.457154,101.453758"
2877,Taekwondo
2878,"wales,UK"
2879,"Chicago, IL"
2880,ky
2881,"Pennsylvania, USA"
2882,Manila
2883,"Tennessee, USA"
2884,Canada
2885,Photo: European Eagle Owl
2886,OZ
2887,"Sterling, VA"
2888,United States
2889,"Rivers, Manitoba, Canada"
2890,CALI
2891,"Washington, D.C."
2892,MA
2893,"Washington, D.C."
2894,West Savannah 
2895,Canada
2896,stl
2897,everywhere
2898,ehh
2899,United Kingdom
2900,Orlando
2901,minding my damn business
2902,"Wollongong, New South Wales"
2903,California
2904,"Arizona, USA"
2905,"Locust, NC"
2906,Mornington Peninsula
2907,"Co.Cork, Ireland"
2908,twitterville
2909,Southern Maine
2910,Infinite consciousness
2911,"Pennsylvania, USA"
2912,"Waukesha, WI"
2913,Sverige
2914,"Texas, USA"
2915,cheese frosting
2916,"Mississippi, USA"
2917,Your Wager Guru
2918,Pelahatchie MS
2919,"Washington, DC"
2920,United States
2921,Australia
2922,"Medellín, Colombia "
2923,United States
2924,"Mesa, Arizona (USA)"
2925,"Taipai, Taiwan"
2926,HydroMolecularMed 993 120-5833
2927,Ireland
2928,"Minneapolis, MN"
2929,"Ramsey, NJ"
2930,houston tx 
2931,"California, USA"
2932,Pleiades 
2933,Babylon-on-the-Hudson
2934,"Quitman, La"
2935,Australia
2936,Seattle
2937,Twitch
2938,"Toronto, Ontario"
2939,"Kansas, USA"
2940,"California, USA"
2941,NC
2942,"California, USA"
2943,India
2944,"Gujarat, India"
2945,"New York, NY"
2946,"Arizona, USA"
2947,"Texas, USA"
2948,Caught between the moon & NYC
2949,"Baja California, México"
2950,"New York, USA"
2951,Mexico DF
2952,htown
2953,"Wilkes Barre, PA"
2954,"North Carolina, USA"
2955,"North Carolina, USA"
2956,"Rivers, Manitoba, Canada"
2957,#NoMandatedVax #MINE #VetoSB27
2958,USA
2959,"Texas, USA"
2960,"Afton, MN"
2961,USA
2962,"San Marcos, TX"
2963,"Moorpark, CA"
2964,"New York, NY"
2965,the deuce
2966,NC
2967,New York City
2968,"Hillsboro, OR"
2969,Mississippi 
2970,°don't find me i'll find you°
2971,Sussex County 
2972,Minnesota
2973,"Texas, USA"
2974,hell
2975,This world is not my home...
2976,Singapore
2977,Philly
2978,United States
2979,Marion
2980,USA
2981,United States
2982,Deep in the heart of Texas
2983,This world is not my home...
2984,They call me Yung Adobo
2985,"Buffalo, NY"
2986,Pa
2987,"Surrey, BC"
2988,she/her • bi • Xen💕
2989,Live From the Gutta 
2990,"Bowling Green, KY"
2991,"Toronto, Ontario"
2992,Australia
2993,NC
2994,"Morrow, OH"
2995,"Ahmadabad City, India"
2996,Enjoying life everywhere
2997,"Reynoldsburg, OH"
2998,"Raleigh, NC"
2999,phpines
3000,United States
3001,"Raleigh, NC"
3002,Maine
3003,"west coast, canada"
3004,United States
3005,United States
3006,"Raleigh, NC"
3007,Big Orange Country 🍊🍊🍊 
3008,"Cardiff, Wales"
3009,"Raleigh, NC"
3010,"North Carolina, USA"
3011,El Cerrito Place
3012,"Washington, DC"
3013,"Cedar Rapids, IA"
3014,"Pittsburgh, PA"
3015,"Overland Park, KS"
3016,United States
3017,"New York, NY"
3018,"Plattsburg, MO"
3019,"Savannah, GA"
3020,"Graham, NC"
3021,Philadelphia
3022,"Houston, TX"
3023,Hong Kong
3024,East TN
3025,"Raleigh, NC"
3026,"East Meadow, NY"
3027,"Osun, Nigeria"
3028,worcester ma
3029,Rangerstown
3030,"New Orleans, LA"
3031,"Lindsay, CA"
3032,Nicaragua
3033,"Corvallis, Oregon"
3034,"my USA, μολὼν λαβέ"
3035,"Glen Rose,🥀Texas, USA"
3036,"El Paso, TX"
3037,Kashipur (Uttarakhand)
3038,"Raleigh, NC"
3039,earth
3040,CT
3041,Probably overthinking
3042,"Georgetown, TX"
3043,USA
3044,"Glen Rose,🥀Texas, USA"
3045,︽✵︽HigherFurtherFaster︽✵︽🤠
3046,"Charlotte, NC"
3047,"Corvallis, Oregon"
3048,with Aaron and Sage
3049,"Sherwood, OR"
3050,Azalea Town
3051,Ayamonte
3052,they/them
3053,H-Tine. 
3054,Screwzoota
3055,"Washington, USA"
3056,"Newburgh, NY"
3057,Jamaica
3058,Kenya👉🏽Clovis👉🏽Berkeley
3059,USA
3060,  Omaha
3061,"USA, USA, USA"
3062,"Tennessee, USA "
3063,Canada
3064,"New York, USA"
3065,"New Jersey, USA"
3066,𝒉𝒎𝒎
3067,UK
3068,Atlanta
3069,Infinity and beyond
3070,"Raleigh, NC"
3071,Somewhere Asleep😴
3072,Los Angeles
3073,"Raleigh, NC"
3074,広島 福山市
3075,"Melbourne, Victoria"
3076,"Pittsburgh, PA"
3077,nr Toronto Ont. Canada
3078,"Overland Park, KS"
3079,Mississippi
3080,"Minneapolis, MN"
3081,"Albuquerque, NM"
3082,"Massachusetts, USA"
3083,𝕌𝕡 𝕃𝕒𝕣𝕣𝕪'𝕤 𝕒𝕤𝕤
3084,"Port au prince, Haiti"
3085,"Raleigh, NC"
3086,South Africa
3087,🌊
3088,Aptos CA
3089,"Overland Park, KS"
3090,"Ohio, USA"
3091,"Arlington, VA"
3092,"Overland Park, KS"
3093,tweets my own
3094,"California, USA"
3095,"Philadelphish, Pa, 'murica"
3096,"Overland Park, KS"
3097,"Chicago, IL"
3098,"Raleigh, NC"
3099,Proverbs 3:27.
3100,"Berkeley, CA"
3101,Texas
3102,"Jacksonville, FL"
3103,Los Angeles
3104,University of Delaware
3105,"Burbank, WA"
3106,"Tracy, CA"
3107,malayxiah home sweet home
3108,Red Station
3109,USA
3110,"Raleigh, NC"
3111,"NoVA, USA"
3112,France
3113,USA
3114,Texas
3115,Washington DC
3116,USS Enterprise
3117,"Tennessee, USA"
3118,nj / bos
3119,"Santiago, Chile"
3120,United States
3121,"HONOLULU, HAWAII"
3122,USA
3123,"NoVA, USA"
3124,Everywhere except China
3125,"Arkansas, USA"
3126,"Ile-de-France, France"
3127,tweets my own
3128,"Vancouver Island, BC, Canada"
3129,"Raleigh, NC"
3130,UK
3131,USA
3132,"Boston, MA"
3133,"Tulsa, OK"
3134,United States
3135,"Washington, DC"
3136,World
3137,Hooderzfield
3138,)))Shadows(((
3139,Wisconsin
3140,"Rathvilly, Co Carlow"
3141,Southern California
3142,"South Carolina, USA"
3143,"Amarillo, TX"
3144,"Dallas, TX"
3145,"Ohio, USA"
3146,"Covington, GA"
3147,"California, USA"
3148,everywhere
3149,"NoVA, USA"
3150,"NoVA, USA"
3151,127.0.0.1
3152,That little stick on New York 
3153,"Corpus Christi, TX"
3154,South Shelbyville
3155,ca & tn
3156,"Massachusetts, USA"
3157,"California, USA"
3158,"Atlanta, GA"
3159,ca & tn
3160,"North Carolina, USA"
3161,"Hawaii, USA"
3162,"Dwarka, New Delhi"
3163,"Kississippi, USA"
3164,Los Angeles
3165,ʳᵉᵛᵉˡᵘᵛˢ ᵒⁿˡʸ ᵉᵛᵉⁿᵗ
3166,"Calgary, Alberta"
3167,@devouringwords
3168,"Lindale, TX"
3169,"Columbia, TN"
3170,"Gujarat, India"
3171,"Washington, DC"
3172,"Pittsburgh, Pennsylvania, USA"
3173,United States
3174,"Pimmit Hills, VA"
3175,"Bacoor, Cavite, Phil."
3176,"Tonka Bay, MN"
3177,Oregon
3178,"Pittsburgh, PA"
3179,Singapore
3180,"Chicago, IL"
3181,"Flint, MI"
3182,"Hamilton, Ontario"
3183,United States
3184,United States
3185,Singapore
3186,Canada
3187,"Pennsylvania, USA"
3188,The Here And Now
3189,Europe
3190,"Ohio, USA"
3191,"Manhattan, Kansas"
3192,"Colorado, USA"
3193,"Omaha, NE"
3194,"Lexington, KY"
3195,$$$
3196,ohio.
3197,"Washington, DC"
3198,336
3199,"Pennsylvania, USA"
3200,"Henderson, NV"
3201,Maryland !! 💙
3202,Nottingham\Islington\Ashford
3203,Tech startup homeless world
3204,"Washington, DC"
3205,"Tucson, AZ"
3206,United States Minor Outlying I
3207,"Phoenix, AZ"
3208,"Bloomington, IN"
3209,"Ahmadabad City, India"
3210,"Sion, Switzerland"
3211,"Paris, France"
3212,"Corvallis, OR"
3213,"Glastonbury, CT"
3214,Nebraska
3215,Getting better👠
3216,"College Station, TX"
3217,cornbread fed. 
3218,Belgium
3219,mother earth
3220,"Miami, FL"
3221,"Austin, TX"
3222,"Kuala Lumpur, Malaysia"
3223,"Columbus, OH"
3224,"California, USA"
3225,"Ashland, OR, USA"
3226,"Delaware, USA"
3227,"Wilton, IA"
3228,main/priv @akaashitooru
3229,"Washington, USA"
3230,United States
3231,"California, USA"
3232,Riyadh_KSA khartoum_sudan
3233,York called new.
3234,Midwest
3235,Los Angeles
3236,"Maine, USA"
3237,"La California, Venezuela"
3238,"43.901794,-78.94925"
3239,"Ashland, OR, USA"
3240,"Baltimore, Maryland"
3241,# asia #22 #cool
3242,USA
3243,"Ada, OK"
3244,"Geelong, Vic."
3245,Here and There
3246,"Corpus Christi, TX"
3247,"Fredericton, New Brunswick"
3248,Florida
3249,Florida
3250,"Reno, NV"
3251,Earth
3252,Philadelphia
3253," Weatherford, OK. Go DAWGS."
3254,Los Angeles
3255,"Cockeysville, MD"
3256,"Lexington, KY"
3257,"Rustampur,Gorakhpur,U.P"
3258,"Kississippi, USA"
3259,On this earth
3260,United States
3261,"Bay Area, CA"
3262,Philadelphia
3263,"Scotch Plains, NJ"
3264,United States
3265,"Indiana, USA"
3266,"Arkansas, USA"
3267,Crucial Waukesha County
3268,"San Francisco, CA"
3269,Planet Earth
3270,"Lima, OH"
3271,k town
3272,DF
3273,Washington DC
3274,"Overland Park, KS"
3275,Massachusetts
3276,"New York, Providence RI"
3277,www.lauralarue.com
3278,PUBG VIDEOS 
3279,"Michigan, USA"
3280,🌎  Who knows~  
3281,South
3282,"Ohio, USA"
3283,Thundertown
3284,United States
3285,Wellington
3286,Da Woodz
3287,"Iowa City, IA"
3288,"Emmett, ID"
3289,USA
3290,NY
3291,United States
3292,"Louisiana, USA"
3293,United States
3294,Northwest Indiana
3295,"Satan's Lap, KY"
3296,"Pittsburgh, PA"
3297,Ireland
3298,The WolfDen🐺
3299,"Pittsburgh, PA"
3300,Montréal
3301,🌎🌤 maan neeva maat uchi 🍃🌻
3302,"El Centro, CA"
3303,Living rent-free in your head
3304,"Atlanta, GA"
3305,"Oklahoma, USA"
3306,"Portland, Oregon"
3307,North Georgia Mountains
3308,"Houston, TX"
3309,"Houston, TX"
3310,United States
3311,DMV
3312,Taiwan
3313,"Portland, Oregon"
3314,not cute
3315,NY
3316,paddy's pub
3317,"Minneapolis, MN"
3318,People Of Good Will
3319,United States
3320,"Kansas City, MO"
3321,"Edmonton, Alberta"
3322,"Dixon, IL"
3323,Somewhere in this cruel wolrd 
3324,lilypad
3325,"Washington, USA"
3326,Around...
3327,"Earth, Terre, Erde, Gaia"
3328,"Mora, NM"
3329,"Colorado, USA"
3330,"Allen, OK"
3331,Frostbite Falls
3332,United States
3333,"Oswego, IL"
3334,NY
3335,United States
3336,"Hell, Sonora desert"
3337,Aisle 7 at Walmart - send help
3338,"Ada, OK"
3339,United States
3340,"Muscatine, IA"
3341,United States
3342,"Geneva, Switzerland"
3343,The pale blue dot
3344,"Bangkok, Thailand"
3345,"Kansas City, KS"
3346,United States
3347,South Jersey 
3348,New York State
3349,United States
3350,Jaipur
3351,"Wisconsin, USA"
3352,United States
3353,United States
3354,"Florida, USA"
3355,DC
3356,California
3357,New Zealand
3358,NY
3359,California
3360,"Tennessee, USA"
3361,"Denver, CO"
3362,Los Angeles
3363,"Texas, USA"
3364,"Oklahoma, USA"
3365,Georgia
3366,Louisiana
3367,"Philadelphia, PA"
3368,"Tennessee, USA"
3369,"Lewisburg, PA"
3370,ⓜⓗⓚ
3371,night vale
3372,☼☼☼☼☼
3373,"Toronto, Ontario"
3374,Iowa
3375,"Irvine, Scotland"
3376,"Texas, USA"
3377,NY
3378,"Pennsylvania, USA"
3379,"Distrito Federal, México"
3380,♂ ALABAMA ☼ click for ammo →
3381,"Sydney, New South Wales"
3382,"Washington, DC"
3383,Minecraft
3384,"Storrs, CT"
3385,Rosario 
3386,Western US
3387,tacobell
3388,Dominica
3389,"Virginia Beach, VA"
3390,My Boyfriends
3391,Canada
3392,District 12
3393,"houston, texas"
3394,"Lewiston, ME"
3395,"New York, NY 10002"
3396,Plastic beach 
3397,Tokyo Japan
3398,South Jersey 
3399,"Florida, USA"
3400,"Manhattan, KS"
3401,HQ - NYC
3402,"Texas, USA"
3403,"New Mexico, USA"
3404,"Tulsa, OK"
3405,Hell
3406,♂ ALABAMA ☼ click for ammo →
3407,"Wilton, IA"
3408,bigass multistan
3409,DTW
3410,"Pennsylvania, USA"
3411,"Ohio, USA"
3412,NY➡️MD
3413,"Annapolis, MD"
3414,florida
3415,USA
3416,United States
3417,"NY or 37,000 ft"
3418,Aerosmith🌊Blue Army🌊
3419,"Madison, Wisconsin, USA"
3420,"Ashland, OR, USA"
3421,Silicon Valley→PacificNW
3422,Australia
3423,megan fox 
3424,Los Angeles
3425,Seattle Grace Hospital✞
3426,Neverland 🌛🌛
3427,"Paris, TX, Fayetteville, NC"
3428,🎨 Commissions are open
3429,RVA
3430,"Longview,WA"
3431,"Arizona, USA"
3432,MNL
3433,"New Bedford, MA"
3434,"Marshall, MI"
3435,"Delaware, USA"
3436,NY
3437,"Texas, USA"
3438,Los Angeles
3439,Australia
3440,"Texas, USA"
3441,New York City
3442,"Burlington, VT"
3443,"Sandy Beach, CT"
3444,"Melbourne, Victoria"
3445,the band room
3446,"Omaha, NE"
3447,the brink
3448,Kea'au Hawaii
3449,World
3450,New England USA
3451, Sweet Home Alabama ‼️ ♥️♥️
3452,USA
3453,"Distrito Federal, México"
3454,"Eau Claire, Wisconsin"
3455,"W. Nyack, NY"
3456,"New York, NY"
3457,"New Orleans, LA"
3458,"New York, NY"
3459,"Rip City, Oregon"
3460,"North Attleboro, MA"
3461,"Syracuse, New York"
3462,"Perth, Australia"
3463,"Lodi, CA"
3464,"Las Vegas, Nevada"
3465,Ohio
3466,Hell
3467,"Cleveland, OH"
3468,"New York, NY"
3469,Canada
3470,"Florida, USA"
3471,"Williamsburg, VA"
3472,California
3473,53147
3474,"Merthyr Tydfil, Wales"
3475,Los Angeles
3476,Oregon
3477,Seattle
3478,"Yonkers, NY"
3479,United Kingdom
3480,NY
3481,Ventura Co. CA. USA
3482,Nakatomi Plaza
3483,US
3484,"Double Springs, AL"
3485,"Ile-de-France, France"
3486,west indiana
3487,Portland
3488,"Fort Stockton, TX"
3489,440
3490,🌏
3491,USA
3492,The REPUBLIC of Texas!
3493,"Peshawar, Pakistan"
3494,US
3495,https://twitter.com/nick_mrtikki3
3496,"Sacramento, CA"
3497,waterloo
3498,"Elmira, NY"
3499,"Texas, USA"
3500,"East Coast, USA"
3501,United States
3502,USA
3503,"Ile-de-France, France"
3504,WorldWide 
3505,"Minnesota, USA"
3506,"Arkansas, USA"
3507,"Philadelphia, PA, USA"
3508,Ohio valley
3509,United States
3510,United States
3511,Colorado
3512,"California, USA"
3513,Sheffield
3514,Sheffield
3515,"San Antonio, TX"
3516,Canada
3517,"Tulsa, OK"
3518,SoCal
3519,"Milwaukee, WI"
